Month,Day,Hour,Temperature,Cloud Type,Relative Humidity,Aerosol Optical Depth,Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI,Station,Operational Capacity(MW),Latitude,Longitude
12,30,0,7.800000000000001,1,56.2,0.7383000000000001,0,0,0,0,0,0,ARINSUN SOLAR (BARSAITADESH),250,24.47,81.57
12,30,1,7.800000000000001,1,57.31,0.7301000000000001,0,0,0,0,0,0,ARINSUN SOLAR (BARSAITADESH),250,24.47,81.57
12,30,2,10.2,3,51.7,0.7236,48,106,62,47,25,51,ARINSUN SOLAR (BARSAITADESH),250,24.47,81.57
12,30,3,12.5,3,35.18,0.7244,146,293,241,135,139,180,ARINSUN SOLAR (BARSAITADESH),250,24.47,81.57
12,30,4,16.1,0,28.6,0.7631,216,407,413,216,407,413,ARINSUN SOLAR (BARSAITADESH),250,24.47,81.57
12,30,5,19.0,0,23.27,0.7988000000000001,266,467,546,266,467,546,ARINSUN SOLAR (BARSAITADESH),250,24.47,81.57
12,30,6,20.4,0,23.41,0.4078,204,683,657,204,683,657,ARINSUN SOLAR (BARSAITADESH),250,24.47,81.57
12,30,7,21.4,1,25.36,0.4323,214,670,662,214,670,662,ARINSUN SOLAR (BARSAITADESH),250,24.47,81.57
12,30,8,21.9,1,28.82,0.4656,212,623,598,212,623,598,ARINSUN SOLAR (BARSAITADESH),250,24.47,81.57
12,30,9,21.3,1,32.27,1.326,260,278,404,260,278,404,ARINSUN SOLAR (BARSAITADESH),250,24.47,81.57
12,30,10,19.700000000000003,0,45.95,1.3107,173,195,245,173,195,245,ARINSUN SOLAR (BARSAITADESH),250,24.47,81.57
12,30,11,16.1,0,62.59,1.2989000000000002,61,82,76,61,82,76,ARINSUN SOLAR (BARSAITADESH),250,24.47,81.57
12,30,12,14.0,0,63.42,1.274,0,0,0,0,0,0,ARINSUN SOLAR (BARSAITADESH),250,24.47,81.57
12,30,13,13.1,0,63.36,1.2272,0,0,0,0,0,0,ARINSUN SOLAR (BARSAITADESH),250,24.47,81.57
12,30,14,12.3,0,63.38,1.161,0,0,0,0,0,0,ARINSUN SOLAR (BARSAITADESH),250,24.47,81.57
12,30,15,11.6,0,63.11,1.0759,0,0,0,0,0,0,ARINSUN SOLAR (BARSAITADESH),250,24.47,81.57
12,30,16,11.0,0,63.13,1.0012,0,0,0,0,0,0,ARINSUN SOLAR (BARSAITADESH),250,24.47,81.57
12,30,17,10.5,0,62.91,0.9374,0,0,0,0,0,0,ARINSUN SOLAR (BARSAITADESH),250,24.47,81.57
12,30,18,10.0,0,63.08,0.8833000000000001,0,0,0,0,0,0,ARINSUN SOLAR (BARSAITADESH),250,24.47,81.57
12,30,19,9.6,0,62.99,0.8310000000000001,0,0,0,0,0,0,ARINSUN SOLAR (BARSAITADESH),250,24.47,81.57
12,30,20,9.2,0,63.14,0.7759,0,0,0,0,0,0,ARINSUN SOLAR (BARSAITADESH),250,24.47,81.57
12,30,21,9.0,0,61.96,0.7187,0,0,0,0,0,0,ARINSUN SOLAR (BARSAITADESH),250,24.47,81.57
12,30,22,8.8,0,60.69,0.6718000000000001,0,0,0,0,0,0,ARINSUN SOLAR (BARSAITADESH),250,24.47,81.57
12,30,23,8.6,0,59.5,0.6295000000000001,0,0,0,0,0,0,ARINSUN SOLAR (BARSAITADESH),250,24.47,81.57
