Month,Day,Hour,Temperature,Cloud Type,Relative Humidity,Aerosol Optical Depth,Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI,Station,Operational Capacity(MW),Latitude,Longitude
12,30,0,4.6000000000000005,0,82.36,0.2746,0,0,0,0,0,0,DADRI SOLAR,5,28.57,77.63
12,30,1,4.9,1,82.42,0.2551,0,0,0,0,0,0,DADRI SOLAR,5,28.57,77.63
12,30,2,6.7,0,73.68,0.2369,20,104,25,20,104,25,DADRI SOLAR,5,28.57,77.63
12,30,3,8.8,3,64.79,0.2212,83,486,200,45,0,45,DADRI SOLAR,5,28.57,77.63
12,30,4,12.4,8,50.22,0.2059,112,684,387,173,175,243,DADRI SOLAR,5,28.57,77.63
12,30,5,15.6,8,35.92,0.1943,127,786,540,235,234,358,DADRI SOLAR,5,28.57,77.63
12,30,6,17.1,3,29.14,0.5326000000000001,212,615,580,276,252,427,DADRI SOLAR,5,28.57,77.63
12,30,7,18.2,0,24.35,0.5201,212,634,605,212,634,605,DADRI SOLAR,5,28.57,77.63
12,30,8,18.9,0,20.87,0.5084000000000001,202,619,564,202,619,564,DADRI SOLAR,5,28.57,77.63
12,30,9,19.1,0,19.08,0.3137,147,679,485,147,679,485,DADRI SOLAR,5,28.57,77.63
12,30,10,18.3,0,19.38,0.3084,119,580,331,119,580,331,DADRI SOLAR,5,28.57,77.63
12,30,11,14.0,0,26.22,0.3065,71,372,143,71,372,143,DADRI SOLAR,5,28.57,77.63
12,30,12,10.8,0,32.410000000000004,0.3069,0,0,0,0,0,0,DADRI SOLAR,5,28.57,77.63
12,30,13,9.9,0,35.86,0.3062,0,0,0,0,0,0,DADRI SOLAR,5,28.57,77.63
12,30,14,9.1,0,39.54,0.3021,0,0,0,0,0,0,DADRI SOLAR,5,28.57,77.63
12,30,15,8.3,0,43.21,0.2974,0,0,0,0,0,0,DADRI SOLAR,5,28.57,77.63
12,30,16,7.5,0,46.59,0.3002,0,0,0,0,0,0,DADRI SOLAR,5,28.57,77.63
12,30,17,6.800000000000001,0,49.42,0.3054,0,0,0,0,0,0,DADRI SOLAR,5,28.57,77.63
12,30,18,6.2,0,51.94,0.3068,0,0,0,0,0,0,DADRI SOLAR,5,28.57,77.63
12,30,19,5.800000000000001,1,53.99,0.3042,0,0,0,0,0,0,DADRI SOLAR,5,28.57,77.63
12,30,20,5.2,0,57.22,0.3051,0,0,0,0,0,0,DADRI SOLAR,5,28.57,77.63
12,30,21,4.800000000000001,0,60.36,0.3007,0,0,0,0,0,0,DADRI SOLAR,5,28.57,77.63
12,30,22,4.4,0,63.99,0.2885,0,0,0,0,0,0,DADRI SOLAR,5,28.57,77.63
12,30,23,4.1000000000000005,0,67.26,0.2709,0,0,0,0,0,0,DADRI SOLAR,5,28.57,77.63
