Month,Day,Hour,Temperature,Cloud Type,Relative Humidity,Aerosol Optical Depth,Clearsky DHI,Clearsky DNI,Clearsky GHI,DHI,DNI,GHI,Station,Operational Capacity(MW),Latitude,Longitude
12,30,0,16.6,3,100.0,0.4453,0,0,0,0,0,0,FORTUM SOLAR,250,14.23,77.46
12,30,1,16.900000000000002,8,100.0,0.4335,0,0,0,0,0,0,FORTUM SOLAR,250,14.23,77.46
12,30,2,18.9,3,90.7,0.3912,69,189,100,69,189,100,FORTUM SOLAR,250,14.23,77.46
12,30,3,21.5,0,77.06,0.3205,130,485,311,130,485,311,FORTUM SOLAR,250,14.23,77.46
12,30,4,23.8,1,66.38,0.2921,159,645,516,159,645,516,FORTUM SOLAR,250,14.23,77.46
12,30,5,25.8,3,60.13,0.3033,183,711,673,281,454,595,FORTUM SOLAR,250,14.23,77.46
12,30,6,27.4,3,56.42,0.2084,162,811,787,299,530,708,FORTUM SOLAR,250,14.23,77.46
12,30,7,28.3,0,54.81,0.2146,167,813,813,167,813,813,FORTUM SOLAR,250,14.23,77.46
12,30,8,28.5,3,54.89,0.2174,164,794,765,275,583,716,FORTUM SOLAR,250,14.23,77.46
12,30,9,28.200000000000003,0,56.19,0.3987,215,629,631,215,629,631,FORTUM SOLAR,250,14.23,77.46
12,30,10,27.1,0,60.35,0.4035,185,533,459,185,533,459,FORTUM SOLAR,250,14.23,77.46
12,30,11,25.5,0,67.9,0.4217,136,361,253,136,361,253,FORTUM SOLAR,250,14.23,77.46
12,30,12,23.4,0,78.37,0.4465,44,93,54,44,93,54,FORTUM SOLAR,250,14.23,77.46
12,30,13,22.0,0,85.75,0.4546,0,0,0,0,0,0,FORTUM SOLAR,250,14.23,77.46
12,30,14,21.0,0,91.38,0.4372,0,0,0,0,0,0,FORTUM SOLAR,250,14.23,77.46
12,30,15,20.3,0,95.23,0.4153,0,0,0,0,0,0,FORTUM SOLAR,250,14.23,77.46
12,30,16,19.8,0,97.47,0.3856,0,0,0,0,0,0,FORTUM SOLAR,250,14.23,77.46
12,30,17,19.3,0,99.41,0.3549,0,0,0,0,0,0,FORTUM SOLAR,250,14.23,77.46
12,30,18,19.0,0,99.81,0.3434,0,0,0,0,0,0,FORTUM SOLAR,250,14.23,77.46
12,30,19,18.7,0,100.0,0.3408,0,0,0,0,0,0,FORTUM SOLAR,250,14.23,77.46
12,30,20,18.4,0,100.0,0.3315,0,0,0,0,0,0,FORTUM SOLAR,250,14.23,77.46
12,30,21,18.1,0,100.0,0.3195,0,0,0,0,0,0,FORTUM SOLAR,250,14.23,77.46
12,30,22,17.900000000000002,0,100.0,0.3056,0,0,0,0,0,0,FORTUM SOLAR,250,14.23,77.46
12,30,23,17.7,0,100.0,0.2893,0,0,0,0,0,0,FORTUM SOLAR,250,14.23,77.46
